nombre_playa,ocupacion,fecha
Ballenas,290,01/01/21
Caracol,410,01/01/21
Chac-Mool,1000,01/01/21
Del Niño,1180,01/01/21
Delfines,2750,01/01/21
Gaviota Azul,6500,01/01/21
Langosta,660,01/01/21
Las Perlas,405,01/01/21
Marlin,1600,01/01/21
Pez Volador,640,01/01/21
Tortugas,1400,01/01/21
Ballenas,220,02/01/21
Caracol,640,02/01/21
Chac-Mool,700,02/01/21
Del Niño,550,02/01/21
Delfines,2000,02/01/21
Gaviota Azul,2275,02/01/21
Langosta,700,02/01/21
Las Perlas,160,02/01/21
Marlin,315,02/01/21
Pez Volador,430,02/01/21
Tortugas,580,02/01/21
Ballenas,105,03/01/21
Caracol,400,03/01/21
Chac-Mool,900,03/01/21
Del Niño,730,03/01/21
Delfines,4050,03/01/21
Gaviota Azul,2000,03/01/21
Langosta,830,03/01/21
Las Perlas,178,03/01/21
Marlin,1180,03/01/21
Pez Volador,510,03/01/21
Tortugas,750,03/01/21
Ballenas,111,04/01/21
Chac-Mool,30,04/01/21
Del Niño,120,04/01/21
Delfines,900,04/01/21
Gaviota Azul,650,04/01/21
Langosta,420,04/01/21
Las Perlas,93,04/01/21
Marlin,330,04/01/21
Pez Volador,175,04/01/21
Ballenas,145,05/01/21
Caracol,175,05/01/21
Chac-Mool,345,05/01/21
Del Niño,360,05/01/21
Delfines,1320,05/01/21
Gaviota Azul,780,05/01/21
Langosta,188,05/01/21
Las Perlas,100,05/01/21
Marlin,550,05/01/21
Pez Volador,170,05/01/21
Tortugas,570,05/01/21
Ballenas,80,06/01/21
Chac-Mool,140,06/01/21
Del Niño,900,06/01/21
Delfines,740,06/01/21
Gaviota Azul,1050,06/01/21
Langosta,450,06/01/21
Las Perlas,165,06/01/21
Marlin,700,06/01/21
Pez Volador,130,06/01/21
Tortugas,550,06/01/21
Ballenas,100,07/01/21
Caracol,140,07/01/21
Chac-Mool,100,07/01/21
Del Niño,130,07/01/21
Delfines,500,07/01/21
Gaviota Azul,1050,07/01/21
Langosta,130,07/01/21
Las Perlas,57,07/01/21
Marlin,180,07/01/21
Pez Volador,180,07/01/21
Tortugas,160,07/01/21
Ballenas,170,08/01/21
Caracol,140,08/01/21
Chac-Mool,950,08/01/21
Del Niño,400,08/01/21
Delfines,850,08/01/21
Gaviota Azul,1000,08/01/21
Langosta,100,08/01/21
Las Perlas,98,08/01/21
Marlin,400,08/01/21
Pez Volador,110,08/01/21
Tortugas,600,08/01/21
Ballenas,750,09/01/21
Caracol,185,09/01/21
Chac-Mool,810,09/01/21
Del Niño,210,09/01/21
Delfines,1750,09/01/21
Gaviota Azul,1500,09/01/21
Langosta,320,09/01/21
Las Perlas,140,09/01/21
Marlin,850,09/01/21
Pez Volador,200,09/01/21
Tortugas,710,09/01/21
Ballenas,147,10/01/21
Caracol,170,10/01/21
Chac-Mool,790,10/01/21
Del Niño,695,10/01/21
Delfines,1100,10/01/21
Gaviota Azul,1300,10/01/21
Langosta,260,10/01/21
Las Perlas,140,10/01/21
Marlin,1230,10/01/21
Pez Volador,175,10/01/21
Tortugas,600,10/01/21
Ballenas,13,11/01/21
Chac-Mool,55,11/01/21
Del Niño,60,11/01/21
Delfines,410,11/01/21
Gaviota Azul,75,11/01/21
